Tree,Correlation
 T12_E_50,-0.4071539783562091
 T14_D_100,-0.07304103487260456
 T15_E_100,-0.4692101318571079
 T2_D_50,-0.6042168841821924
 T4_E_50,-0.5049361896876485
 T5_D_50,-0.3720619184134036
 T7_E_100,-0.13027101831566176
 T9_D_100,0.5328302312735896
