Tree,Correlation
 T12_E_50,-0.02692931284351727
 T14_D_100,-0.06126974587160876
 T15_E_100,-0.06719951031890128
 T2_D_50,-0.0856951686736808
 T4_E_50,-0.05712834848306141
 T5_D_50,-0.0505440114024957
 T7_E_100,-0.03879835001258792
 T9_D_100,-0.05799264027472471
