T2,T4,T5,T7,T9,T12,T14,T15,D irr,E irr,50% water,100% water,D_50,D_100,E_50,E_100,sensor b,sensor a,row number
0.8581278041383509,-0.13567936248052143,0.8399089573393071,0.3975074116460295,0.7985417483865599,-0.1450785479436076,0.18260648774147734,0.29491577273338837,0.6697962494014238,0.10291631848882221,0.3543197127633822,0.41839285512686375,0.849018380738829,0.4905741180640186,-0.1403789552120645,0.3462115921897089,tdr_salt_80,tdr_salt_40,1
-0.4133625882744126,0.6322927093637922,-0.4094100127000284,-0.18902734924194178,0.13174277842741516,0.7731321718358408,-0.4001081053261665,0.35150649327482236,-0.2727844819682981,0.39197600630812846,0.14566307005629803,-0.02647154571646769,-0.41138630048722047,-0.13418266344937566,0.7027124405998165,0.08123957201644029,tdr_water_40,tdr_salt_40,2
-0.5726730997245645,0.6477612325284469,-0.5430479888033641,0.26089612602256573,0.24773559070700124,0.665594029109798,-0.29917959643181974,0.21466050576640175,-0.2917912735631868,0.4472279733568031,0.04940854327757904,0.10602815651603725,-0.5578605442639644,-0.02572200286240925,0.6566776308191224,0.23777831589448373,tdr_water_80,tdr_salt_40,3
0.15160469069548207,-0.5520696887281253,-0.03186859856750337,0.01037981710171152,-0.037123571542434244,-0.6764318000895745,-0.16522200570027695,-0.28899709924877615,-0.020652371278683124,-0.37677969274119105,-0.27719134917243027,-0.12024071484744395,0.05986804606398935,-0.10117278862135559,-0.6142507444088499,-0.1393086410735323,tensiometer_40,tdr_salt_40,4
0.44203915626425855,-0.754421296137885,0.42035711904221285,-0.05159652520218367,-0.017918305803797593,-0.4365777712015317,-0.15091943051386889,-0.33952344120251876,0.1733896347472012,-0.3955297584360298,-0.08215069800823634,-0.13998942568059222,0.43119813765323567,-0.08441886815883323,-0.5954995336697083,-0.1955599832023512,tensiometer_80,tdr_salt_40,5
0.04039042714810173,-0.04563795569465059,0.03765257078227988,0.04171141526409685,0.05754989038109716,0.021970661490567703,0.11701730239494726,0.04172352205442194,0.0631525476766065,0.014941910778608975,0.01359392593157468,0.0645005325236408,0.039021498965190804,0.08728359638802222,-0.011833647102041442,0.04171746865925939,frond_growth_rate,tdr_salt_40,6
-0.5824220789313049,-0.3324577894168105,-0.5450728386438869,-0.05519011190979474,0.368361733564164,-0.3867290532854426,0.01788309911919554,-0.07753366278780983,-0.18531252122295808,-0.2129776543499644,-0.4616704400693612,0.06338026449643876,-0.5637474587875959,0.1931224163416798,-0.35959342135112654,-0.06636188734880229,tdr_water_40,tdr_salt_80,7
-0.6042168841821924,-0.5049361896876486,-0.3720619184134036,-0.13027101831566176,0.5328302312735896,-0.4071539783562091,-0.07304103487260456,-0.4692101318571079,-0.12912240154865273,-0.3778928295541568,-0.4720922426598634,-0.034922988442946154,-0.488139401297798,0.22989459820049254,-0.4560450840219289,-0.29974057508638485,tdr_water_80,tdr_salt_80,8
0.36507328890473456,0.00831116230491754,0.16483491718713206,0.1633427430691778,-0.4174649829908898,0.2229293199154521,-0.10469210566481123,0.38977142522494945,0.001937779359041398,0.19608866262862423,0.19028717207805906,0.00773926990960655,0.2649541030459333,-0.2610785443278505,0.11562024111018482,0.2765570841470636,tensiometer_40,tdr_salt_80,9
0.4694276178320109,0.3671203564059924,0.34679635869529535,0.1529850627740961,-0.4087390670423516,0.05691293151191986,-0.1205257697469961,0.4275821191735441,0.07173978493448965,0.2511501174663881,0.31006431611130464,0.012825586289573143,0.40811198826365314,-0.26463241839467383,0.2120166439589561,0.2902835909738201,tensiometer_80,tdr_salt_80,10
0.006548689709141578,0.004400434049334099,-0.05277577070720257,0.04165473142386249,0.058671590207928684,-0.08338239298433704,0.04084196654111925,0.06422875338565835,0.013321618937746735,0.0067253814686294745,-0.03130225998326598,0.05134926038964219,-0.023113540499030496,0.04975677837452397,-0.03949097946750147,0.05294174240476042,frond_growth_rate,tdr_salt_80,11
0.799834561203634,0.8056471671202436,0.6334837991125449,0.6231773898573364,0.9206514957931702,0.9143141655217877,0.7105656012262135,0.6913662661924133,0.7661338643338906,0.7586262471729452,0.7883199232395526,0.7364401882672834,0.7166591801580895,0.8156085485096918,0.8599806663210157,0.6572718280248748,tdr_water_80,tdr_water_40,12
-0.7352042901030045,-0.5288459654610869,-0.69919361131171,-0.29698396381079517,-0.5492942528069883,-0.6553012654072219,-0.3989699845747665,-0.6919680128894002,-0.5956655346991173,-0.5432748018921261,-0.6546362830707557,-0.48430405352048755,-0.7171989507073573,-0.4741321186908774,-0.5920736154341544,-0.4944759883500977,tensiometer_40,tdr_water_40,13
-0.728071749699743,-0.782011970688233,-0.696810246471919,-0.25933604064939264,-0.5892811317372464,-0.4329004102261817,-0.4340678322017359,-0.6832990327954714,-0.612057740027661,-0.5393868635898197,-0.6599485942715192,-0.4914960093459616,-0.7124409980858311,-0.5116744819694912,-0.6074561904572073,-0.47131753672243204,tensiometer_80,tdr_water_40,14
0.09246477255002802,0.012327903268865547,0.14096804423227013,-0.09121716693738462,0.02966188295735628,0.016156001602186183,-0.048401032061771945,-0.047854177004469985,0.053673416919470626,-0.02764685976770072,0.06547918041333747,-0.039452623261567565,0.11671640839114908,-0.009369574552207832,0.014241952435525864,-0.0695356719709273,frond_growth_rate,tdr_water_40,15
-0.5753226895760872,-0.6782853390446628,-0.19438984870191814,-0.42924464491322845,-0.5389106436705842,-0.4782537819352813,-0.30349272538303457,-0.5457889381046481,-0.403028976832906,-0.5328931759994551,-0.4815629148144874,-0.4543592380178738,-0.38485626913900267,-0.4212016845268094,-0.578269560489972,-0.4875167915089383,tensiometer_40,tdr_water_80,16
