date, T2_D_50, T5_D_50, T9_D_100, T14_D_100, T4_E_50, T7_E_100, T12_E_50, T15_E_100
24/04/2024,3.242833333,6.197,6.4435,4.6975,2.403333333,4.130666667,3.765166667,4.1305
25/04/2024,3.246166667,6.182666667,6.45,4.6395,2.3935,4.112333333,3.801333333,4.034666667
26/04/2024,3.287333333,6.297666667,6.558666667,4.665166667,2.436833333,4.161166667,4.113333333,4.488333333
27/04/2024,3.276666667,6.375833333,6.612333333,4.671833333,2.625,3.844333333,4.489,4.0875
28/04/2024,3.282333333,6.397,6.544333333,4.644333333,2.668833333,3.767333333,4.511833333,4.245833333
29/04/2024,3.274833333,6.557166667,6.399,4.5045,2.601666667,3.582333333,4.201,4.040166667
30/04/2024,3.257166667,6.574166667,6.235833333,4.446,2.514,3.457833333,4.112,3.826833333
01/05/2024,3.263833333,6.643166667,6.106833333,4.3935,2.447166667,3.3625,4.064166667,3.758833333
02/05/2024,3.265666667,6.718833333,5.870666667,4.329333333,2.432833333,3.306833333,3.930166667,3.7895
03/05/2024,3.277333333,6.795833333,5.722833333,4.296666667,2.418166667,3.270666667,3.798,3.748666667
04/05/2024,3.2605,6.837833333,5.563833333,4.267166667,2.419666667,3.2585,3.766333333,3.774833333
05/05/2024,3.257833333,6.956166667,5.470666667,4.2275,2.4395,3.322833333,3.755666667,3.8505
06/05/2024,3.235833333,6.946166667,5.406833333,4.23,2.454,3.4785,3.739666667,4.125
07/05/2024,3.284,7.031,5.412833333,4.2326,2.662666667,3.635833333,5.188,4.846833333
08/05/2024,3.275,7.091666667,5.455166667,4.505833333,2.938333333,3.7775,6.042,5.0295
09/05/2024,3.283833333,7.170666667,5.544166667,14.332,3.251,3.977333333,6.519166667,5.425
10/05/2024,3.288333333,7.195,5.586166667,21.27966667,3.408833333,4.066666667,6.9315,5.0945
11/05/2024,3.404166667,7.249166667,6.201166667,4.415833333,3.4015,3.7925,6.3215,4.103
12/05/2024,3.412333333,7.409666667,6.585333333,11.60766667,3.1615,3.839833333,5.433166667,4.128833333
13/05/2024,3.4325,7.555333333,6.586166667,17.05733333,3.152666667,3.858166667,4.847666667,4.207333333
14/05/2024,3.425333333,7.648333333,6.4065,11.23066667,3.120666667,3.889166667,4.635666667,4.1695
15/05/2024,3.418333333,7.613833333,6.184166667,22.4075,3.08,3.895666667,4.587666667,4.102166667
16/05/2024,3.474333333,7.768333333,5.9845,19.541,2.9225,3.801666667,4.4445,3.766666667
17/05/2024,3.534833333,7.877833333,5.947166667,9.463666667,2.737166667,3.569666667,4.2575,3.682666667
18/05/2024,3.577833333,8.0205,6.019333333,35.36766667,2.566333333,3.390166667,4.064,3.4905
19/05/2024,3.631333333,8.094,5.862333333,14.334,2.483666667,3.2345,3.798333333,3.480166667
20/05/2024,3.6685,8.180666667,5.335833333,14.85683333,2.416,3.1425,3.547,3.425166667
21/05/2024,3.734833333,8.241166667,5.1845,37.58816667,2.411333333,3.087333333,3.622833333,3.431
22/05/2024,3.848,8.385,5.128333333,15.2185,2.4235,3.076333333,3.6525,3.458666667
23/05/2024,3.8655,8.382833333,5.037666667,33.80216667,2.420833333,3.084166667,3.663833333,3.4735
24/05/2024,3.975,8.5125,4.9805,31.6295,2.414666667,3.028,3.702166667,3.525333333
25/05/2024,4.021666667,8.673666667,4.8795,41.52416667,2.406333333,3.045666667,3.645833333,3.481
26/05/2024,4.0415,8.694166667,4.8405,36.87966667,2.394,3.061,3.5945,3.583666667
27/05/2024,4.066333333,8.7755,4.9285,,2.619666667,3.082166667,3.601,3.5915
28/05/2024,4.116833333,8.911,5.032666667,3.965666667,2.753333333,3.104666667,3.652666667,3.718333333
29/05/2024,4.120166667,8.933166667,5.030166667,4.197666667,2.742833333,3.11,3.746166667,3.8445
30/05/2024,4.119333333,8.886833333,4.935333333,4.207833333,2.7335,3.099,3.828333333,3.817
31/05/2024,4.089666667,8.918333333,4.868,4.256333333,2.719666667,2.976666667,4.013833333,3.485166667
01/06/2024,4.094333333,8.957666667,4.713166667,4.402333333,2.708833333,2.919,3.989166667,3.503333333
02/06/2024,4.065666667,8.932166667,4.583166667,4.369,2.724166667,2.887666667,3.992666667,3.498666667
03/06/2024,4.065333333,9.019666667,4.490333333,4.537833333,2.737333333,2.915166667,4.048,3.537333333
04/06/2024,4.063666667,9.0615,4.4055,4.693166667,2.771,2.886,4.074833333,3.501833333
05/06/2024,4.094666667,9.0825,4.361333333,4.747833333,2.835833333,2.912,4.13,3.544166667
06/06/2024,4.102166667,9.1775,4.219,4.800666667,2.909166667,2.8515,3.840166667,2.981166667
07/06/2024,4.042166667,6.196,3.934,4.778333333,2.385166667,2.775833333,3.174666667,3.0185
08/06/2024,3.856,5.601333333,3.914666667,4.741333333,2.5235,2.861833333,3.622333333,3.738833333
09/06/2024,3.779166667,5.619,3.869666667,4.700166667,2.642,2.758,3.911,3.311
10/06/2024,3.780166667,5.773666667,3.857666667,4.654833333,2.531333333,2.812,3.963666667,3.524166667
11/06/2024,3.762,5.971,3.8755,4.592,2.4855,2.794333333,3.942,3.464166667
12/06/2024,3.7945,6.120333333,3.905166667,4.531,2.478,2.792833333,3.956,3.514
13/06/2024,3.789,6.329166667,3.937333333,4.544,2.501166667,2.7855,4.037,3.504666667
14/06/2024,3.8085,6.469,3.988166667,4.36,2.518166667,2.824333333,4.2095,3.602166667
15/06/2024,3.838,6.524333333,3.992666667,4.711,2.552,2.817833333,4.264,3.639666667
16/06/2024,3.873166667,6.654833333,3.971166667,4.950333333,2.548166667,2.841,4.350666667,3.673833333
17/06/2024,3.927833333,6.729833333,3.996666667,4.957,2.557666667,2.8265,4.249166667,3.695666667
18/06/2024,3.881833333,6.936833333,4.0095,4.895333333,2.5625,2.902333333,4.1445,3.7845
19/06/2024,3.9915,7.019,3.997833333,4.987833333,2.578333333,2.922833333,4.181833333,3.8725
20/06/2024,3.9935,7.108,4.1095,5.137833333,2.545833333,2.926166667,4.203833333,3.843
21/06/2024,3.815333333,7.22,4.191833333,5.164166667,2.555666667,2.956,4.219833333,3.936
22/06/2024,3.848333333,7.302333333,4.298166667,5.223666667,2.578,2.987333333,4.264166667,3.946666667
23/06/2024,3.878333333,7.320666667,4.379,5.243333333,2.564833333,3.026666667,4.282333333,4.007
24/06/2024,3.9415,7.384,4.470333333,5.1755,2.5535,3.017166667,4.2575,4.049666667
25/06/2024,3.977333333,7.525166667,4.512166667,5.182166667,2.557833333,3.073666667,4.315833333,4.125333333
26/06/2024,3.862,7.551833333,4.567833333,5.12,2.555,3.116666667,4.397833333,4.158666667
27/06/2024,3.804333333,7.640833333,4.687,5.1125,2.572833333,3.144333333,4.385333333,4.0235
28/06/2024,3.881666667,7.763833333,4.767666667,5.151833333,2.587333333,3.179166667,4.386833333,3.9525
29/06/2024,3.896,7.742166667,4.557666667,5.237,2.651166667,3.282833333,4.855666667,7.057
30/06/2024,3.767333333,7.734,4.313333333,5.356666667,2.7455,3.9395,5.146166667,6.075
01/07/2024,3.875666667,7.758833333,4.957666667,5.381333333,2.716166667,3.620166667,4.86,3.9465
02/07/2024,4.093,8.0115,4.9755,5.184666667,2.662333333,3.410333333,4.615166667,3.8105
03/07/2024,4.139333333,8.1885,4.7385,5.13,2.621666667,3.312833333,4.519833333,3.786
04/07/2024,4.180666667,8.307333333,4.633333333,4.8495,2.622333333,3.246166667,4.553,3.656833333
05/07/2024,4.289833333,8.459833333,4.515333333,4.879666667,2.618833333,3.172166667,4.537833333,3.687666667
06/07/2024,4.641166667,8.549833333,4.436166667,4.718,2.604,3.078666667,4.500166667,3.728333333
07/07/2024,4.901,8.725833333,4.357666667,4.732333333,2.660666667,3.021166667,4.466166667,3.705666667
08/07/2024,4.876833333,8.848166667,4.278833333,4.767333333,2.683833333,2.9945,4.554833333,3.740666667
09/07/2024,4.846833333,8.923333333,4.2285,4.5465,2.699666667,2.971833333,4.741166667,3.734
10/07/2024,4.959666667,9.046,4.175,4.585,2.693833333,2.9775,4.7235,3.777
11/07/2024,5.072333333,9.1265,4.149166667,4.542666667,2.732666667,2.969,4.832,3.815
12/07/2024,5.147,9.245166667,4.184333333,4.435333333,2.717666667,2.983,4.855833333,3.788166667
13/07/2024,5.205833333,9.412666667,4.2085,4.508333333,2.715666667,2.953333333,4.873333333,3.820833333
14/07/2024,5.509,9.453166667,4.276833333,4.4975,2.757833333,2.963166667,4.974666667,3.812833333
15/07/2024,6.0845,9.555166667,4.0305,4.445333333,2.735666667,3.09,5.349166667,4.619333333
16/07/2024,6.174333333,9.497166667,3.8405,4.572,2.604666667,3.216666667,5.686333333,4.697833333
17/07/2024,5.997166667,9.461666667,3.970833333,4.623666667,2.438666667,3.397666667,5.395,4.857666667
18/07/2024,5.896833333,9.322333333,2.905833333,4.87,2.3165,3.655666667,4.304333333,4.912166667
19/07/2024,5.746333333,9.278833333,2.131,5.204333333,2.400333333,3.847333333,4.446833333,5.016333333
20/07/2024,5.4034,9.17,1.8306,5.965833333,2.4414,4.013,4.587833333,4.998166667
21/07/2024,,,,6.946,,,4.707,5.058
22/07/2024,4.391,8.808666667,1.086,6.714333333,2.412666667,3.421333333,4.811666667,4.112333333
23/07/2024,4.6416,8.7038,4.2936,7.5782,2.7406,3.0132,4.412,3.8058
24/07/2024,5.862,8.7985,4.1895,5.545,2.7235,3.1,4.8235,
25/07/2024,5.903166667,9.965333333,4.327,5.313,2.654333333,3.0365,4.18,
26/07/2024,5.744,10.4755,,,2.641166667,3.027833333,,
