date, T15_E_100, T12_E_50, T7_E_100, T4_E_50, T14_D_100, T2_D_50, T5_D_50, T9_D_100
22/04/2024,56.36458333,80.40625,32.3125,44.94791667,59.44791667,9.875,31.85416667,26.30208333
23/04/2024,57.6875,79.58333333,29.44791667,46.11458333,59.73958333,9.958333333,31.9375,27.86458333
24/04/2024,57.57291667,82.125,27.91666667,48.5625,60.08333333,10.46354167,32.84375,34.64583333
25/04/2024,57.41666667,90.15625,28.1875,55.03125,60.78125,11.69791667,36.02083333,31.70833333
26/04/2024,75.625,166.0104167,27.6875,166.6875,73.35416667,33,61.08333333,42.52083333
27/04/2024,60.51041667,136.5572917,26.65625,96.84375,59.04166667,22.55208333,85.34375,29.52083333
28/04/2024,61.65168539,84.29213483,26.78651685,48.75280899,56,11.56179775,64.58426966,29.93258427
29/04/2024,62.5,77.21875,26.26041667,49.28125,58.78125,10.4375,41.84375,31.88541667
30/04/2024,59.28125,78.67708333,26.64583333,49.08333333,58.27083333,10.8125,32.90625,32.47916667
01/05/2024,59.3125,82.38541667,26.6875,53,55.6875,11.22916667,30.90625,32.13020833
02/05/2024,61.83333333,90.34375,27.125,55.32291667,58.65625,11.75,31.36458333,35.73958333
03/05/2024,59.17708333,97.78125,27.11458333,56.5,57.72916667,12.52083333,32.77083333,37.40104167
04/05/2024,46.8125,123.21875,21.26041667,60.59375,48.08333333,17.70833333,38.4375,38.19791667
05/05/2024,57.4375,115.40625,27.36458333,62.69791667,56.97916667,14.21875,37,34.5
06/05/2024,56.41666667,116.2395833,26.16666667,70.6875,58.51041667,16.17708333,42.32291667,23.25
07/05/2024,63.5625,101.5208333,31.05208333,55.42708333,66.44791667,12.515625,37.95833333,22.59895833
08/05/2024,62.921875,87.11458333,32.08333333,48.90625,68.42708333,10.90625,33.71875,24.21875
09/05/2024,59.53125,69.28125,32.86458333,36.64583333,69.71875,9.442708333,33.05208333,22.4375
10/05/2024,61.875,75.52083333,30.55208333,54.5625,62,20.03125,44.39583333,22.1875
11/05/2024,58.19791667,63.57291667,23.80208333,46.72916667,54.60416667,7.104166667,28.0625,28.17708333
12/05/2024,58.5625,72.11458333,24.8125,52.73958333,56.85416667,10.67708333,25.375,28.484375
13/05/2024,56.3125,70.70833333,25.34375,52.98958333,54.34375,10.79166667,25.13541667,24.375
14/05/2024,57.57291667,71.22916667,25.01041667,55.30208333,53.19270833,11,25.89583333,22.48958333
15/05/2024,55.90625,74.09375,24.66145833,59.30208333,55.92708333,11.58333333,26.95833333,22.296875
16/05/2024,44.88541667,63.88541667,17.91666667,47.15625,45.52083333,10.57291667,23.72916667,17.8125
17/05/2024,43.45833333,52.44791667,17.95833333,40.11458333,39.65625,8.854166667,22.36979167,19.21875
18/05/2024,42.14583333,45.70833333,18.21875,37.64583333,41.52083333,7.15625,20.3125,20.97916667
19/05/2024,38.97916667,50.08333333,16.15625,42.54166667,39.16666667,8.03125,21.85416667,22.171875
20/05/2024,44.125,58.77083333,18.53125,57.15625,46,13.03125,23.5,26.40625
21/05/2024,41.06770833,73.29166667,18.59375,65.828125,38.09895833,17.8125,29.83333333,27.125
22/05/2024,39.375,74.875,18.01041667,60.70833333,42.77604167,17.48958333,29.47916667,24.05208333
23/05/2024,40.59375,77.22916667,17.84375,60.44791667,43.45833333,17.67708333,29.66666667,24.765625
24/05/2024,39.69270833,81.86458333,17.76041667,61.34375,45.47916667,19.28125,30.44791667,26.71875
25/05/2024,38.88541667,73.15625,17.23958333,55.49479167,46.05208333,16.83854167,28.41666667,23.13541667
26/05/2024,48.58333333,70.33333333,18.04166667,55.875,45.80208333,15.67708333,26.875,22.63541667
27/05/2024,50.10416667,67.92708333,18.29166667,59.80208333,44.20833333,14.578125,26.35416667,26.5
28/05/2024,51.02105263,54.69473684,17.57894737,50.74736842,40.88947368,12.02105263,23.15789474,17.70526316
29/05/2024,44.82446809,40.34042553,17.18085106,48.75,36.44148936,11.85106383,17.15957447,16.46276596
30/05/2024,46.20430108,41.33333333,18.30107527,52.70430108,39.30107527,12.34408602,18.22580645,21.10752688
31/05/2024,43.375,56.9375,19.109375,50.97916667,43.42708333,13.38541667,25.97916667,20.14583333
