date,tree,tensiometer_40,tensiometer_80,frond,dendrometer,tdr_water_40,tdr_water_80,tdr_salt_40,tdr_salt_80,sap_flow,eto (mm/day),vpd (kPa),frond_growth_rate,irrigation,irrigation calc (kc=1),adjusted_irrigation
2024-03-01, T12_E_50,0.04688075647611423,0.055895388920179166,27.57635417,0.0,0.26845072979080176,0.3843099232593293,0.23989490231543387,0.0667001143938911,0.0,0.12134893327913898,0.19903303589217558,,0.0,0.0,0.0
2024-03-01, T14_D_100,0.07618199680800955,0.0892084186553675,22.59485417,0.0,0.294893365561904,0.3912979800530204,0.2961503272573721,0.12179253043634891,0.0,0.12134893327913898,0.19903303589217558,,0.0,0.0,0.0
2024-03-01, T15_E_100,0.095247451799278,0.11667660247755844,20.76234167,0.0,0.5942203628461986,0.23379282468171686,0.2539939474980646,0.0926408316287591,0.0,0.12134893327913898,0.19903303589217558,,0.0,0.0,0.0
2024-03-01, T2_D_50,0.02141716812294566,0.002890023587274151,48.14867917,0.0,0.35994270385957483,0.4522318429325693,0.24226429256105286,0.10084890324904383,0.0,0.12134893327913898,0.19903303589217558,,0.0,0.0,0.0
2024-03-01, T4_E_50,0.07421097875577214,0.03560042507703171,19.087175,0.0,0.26449456590528814,0.3576523957518701,0.1953925915264973,0.049814365124741466,0.0,0.12134893327913898,0.19903303589217558,,0.0,0.0,0.0
2024-03-01, T5_D_50,0.031794179048240924,0.020307923594320848,17.91454167,0.0,0.28070574335178616,0.2718536658420515,0.2483519834611866,0.07997752312268137,0.0,0.12134893327913898,0.19903303589217558,,0.0,0.0,0.0
2024-03-01, T7_E_100,0.054365712876163944,0.057282081860284884,21.98402917,0.0,0.3078759492016099,0.4125941244135818,0.2820395523963685,0.06509863734250347,0.0,0.12134893327913898,0.19903303589217558,,0.0,0.0,0.0
2024-03-01, T9_D_100,0.03286258135693037,0.03190689717454319,22.10923333,0.0,0.3756536766041129,0.21847221577627934,0.24126727194031952,0.0952056031471468,0.0,0.12134893327913898,0.19903303589217558,,0.0,0.0,0.0
2024-03-02, T9_D_100,0.05523762741180449,0.05310904331367705,23.802175,0.0,0.3577599927503259,0.20471188546678126,0.24016468435498628,0.0915009331841698,0.0,0.20385673732468979,0.16171549447337807,1.6929416699999997,0.0,0.0,0.0
2024-03-02, T7_E_100,0.07857055138681782,0.09512454316871514,23.71926667,0.0,0.28243372283442747,0.34761017633911095,0.2659933844746288,0.06704529490320534,0.0,0.20385673732468979,0.16171549447337807,1.7352375000000002,0.0,0.0,0.0
2024-03-02, T4_E_50,0.12868721600869706,0.09296026541947425,20.82569583,0.0,0.23527806839054366,0.308287833355593,0.20573814716025055,0.05109073029351657,0.0,0.20385673732468979,0.16171549447337807,1.7385208300000023,0.0,0.0,0.0
2024-03-02, T5_D_50,0.06239715092079491,0.05025789896374932,19.79012083,0.0,0.2576508572603448,0.24981057939025217,0.2460295117883032,0.08104918821721896,0.0,0.20385673732468979,0.16171549447337807,1.875579160000001,0.0,0.0,0.0
2024-03-02, T15_E_100,0.15780424908135857,0.15764236278614416,22.52630417,0.0,0.5747123823072867,0.20874537189898978,0.26337767140544727,0.0979309237513953,0.0,0.20385673732468979,0.16171549447337807,1.763962499999998,0.0,0.0,0.0
2024-03-02, T14_D_100,0.13702566625029494,0.1340037842102176,24.4198,0.0,0.2612204992414148,0.3863349659364641,0.29013301428671967,0.12178851672545798,0.0,0.20385673732468979,0.16171549447337807,1.8249458299999972,0.0,0.0,0.0
2024-03-02, T12_E_50,0.07335134471036812,0.11944998834532851,29.17640833,0.0,0.2175435405624151,0.2507567058373134,0.22150280336406505,0.07874129523139206,0.0,0.20385673732468979,0.16171549447337807,1.6000541600000027,0.0,0.0,0.0
2024-03-02, T2_D_50,0.041219452292620626,0.013406858302829136,49.84592083,0.0,0.32256377611368753,0.4431191513635056,0.2462054566120065,0.09732485097454696,0.0,0.20385673732468979,0.16171549447337807,1.697241659999996,0.0,0.0,0.0
2024-03-03, T12_E_50,0.07790126488702832,0.14166947465920193,31.09391667,0.0,0.34027556722952307,0.3457013248416226,0.19657728671968472,0.0767183768506919,0.0,0.17658319615890472,0.05063760444313958,1.9175083399999977,297.0,0.9892297925421865,0.7913838340337492
2024-03-03, T14_D_100,0.15717794427971302,0.13012881989083241,26.186925,0.0,0.27420308309939184,0.3825172626227922,0.28442067232036033,0.12029139656663458,0.0,0.17658319615890472,0.05063760444313958,1.767125,469.4,1.5634493758225667,1.2507595006580534
2024-03-03, T15_E_100,0.16698391255637543,0.17671263053530856,24.48977917,0.0,0.6420581147299939,0.2842197043860064,0.26111384805405025,0.09422224005344501,0.0,0.17658319615890472,0.05063760444313958,1.963474999999999,469.4,1.5634493758225667,1.2507595006580534
2024-03-03, T2_D_50,0.04325187277246217,0.023547860342595484,51.681325,0.0,0.3515983811087517,0.4393014482091813,0.245736270462383,0.09596821127488264,0.0,0.17658319615890472,0.05063760444313958,1.8354041700000039,297.0,0.9892297925421865,0.7913838340337492
2024-03-03, T4_E_50,0.1758688443600297,0.09682227003745147,21.67420417,0.0,0.26078850447989005,0.35846573241591906,0.1848359021043001,0.05135563627194159,0.0,0.17658319615890472,0.05063760444313958,0.8485083399999986,297.0,0.9892297925421865,0.7913838340337492
2024-03-03, T5_D_50,0.07677760038995839,0.08228143387397034,21.81294167,0.0,0.2634259469974754,0.2436856555487503,0.254263729537617,0.08094081758968145,0.0,0.17658319615890472,0.05063760444313958,2.0228208400000014,297.0,0.9892297925421865,0.7913838340337492
