date,tensiometer_40,tensiometer_80,tdr_water_40,tdr_water_80,tdr_salt_40,tdr_salt_80,eto (mm/day),vpd (kPa),frond_growth_rate,irrigation,D,E,100,50
2024-03-03,0.07790126488702832,0.14166947465920196,0.34027556722952307,0.3457013248416226,0.19657728671968472,0.0767183768506919,4.691149655,1.190096617,1.9175083399999977,297.0,0,1,0,1
2024-03-03,0.15717794427971302,0.13012881989083241,0.2742030830993918,0.3825172626227922,0.28442067232036033,0.12029139656663458,4.691149655,1.190096617,1.767125,469.4,1,0,1,0
2024-03-03,0.16698391255637543,0.17671263053530856,0.6420581147299937,0.28421970438600647,0.26111384805405025,0.09422224005344501,4.691149655,1.190096617,1.963474999999999,469.4,0,1,1,0
2024-03-03,0.04325187277246217,0.023547860342595487,0.3515983811087517,0.4393014482091813,0.245736270462383,0.09596821127488264,4.691149655,1.190096617,1.8354041700000039,297.0,1,0,0,1
2024-03-03,0.17586884436002972,0.09682227003745147,0.26078850447989005,0.3584657324159191,0.1848359021043001,0.051355636271941583,4.691149655,1.190096617,0.8485083399999986,297.0,0,1,0,1
2024-03-03,0.0767776003899584,0.08228143387397034,0.2634259469974754,0.24368565554875032,0.254263729537617,0.08094081758968145,4.691149655,1.190096617,2.0228208400000014,297.0,1,0,0,1
2024-03-03,0.08340292275639336,0.10984033591705099,0.30960392890252225,0.37250824073545996,0.2651723086072208,0.0666760320322161,4.691149655,1.190096617,1.872062500000002,469.4,0,1,1,0
2024-03-03,0.059038437919821656,0.07015111065737646,0.3603519621925589,0.1922794520313202,0.24056349264550636,0.0917417568009198,4.691149655,1.190096617,1.9685000000000024,469.4,1,0,1,0
2024-03-05,0.02193908878705385,0.017236463549093552,0.37438042831153695,0.20862918087869098,0.24232294088253922,0.0942864596926058,3.931955545,1.138527628,2.171133340000001,603.3,1,0,1,0
2024-03-05,0.04850792090783219,0.0634638811918183,0.3275885589070138,0.3987342020058459,0.26391723555492996,0.06568464146856773,3.931955545,1.138527628,1.952858329999998,603.3,0,1,1,0
2024-03-05,0.09156330590724546,0.10350949950300964,0.2952116775259124,0.3830484214361461,0.30013840995143926,0.12153163819289718,3.931955545,1.138527628,1.3369208400000012,603.3,1,0,1,0
2024-03-05,0.10211224363690583,0.12888468417630997,0.6508344322423416,0.3040551624082137,0.26136017080723484,0.09760179813380948,3.931955545,1.138527628,1.9596041699999986,603.3,0,1,1,0
2024-03-06,0.01750583322637826,0.021357663103449165,0.38349779465297607,0.2551719626964977,0.24299153121261172,0.09913905557011868,4.894999182,1.404343714,2.3014125000000014,136.5,1,0,1,0
2024-03-06,0.061267346184501345,0.11475855991352255,0.25755991089136904,0.33504495327998524,0.22814178809205435,0.07551827247783273,4.894999182,1.404343714,1.7346041700000043,136.3,0,1,0,1
2024-03-06,0.07148471079566805,0.08101137865710112,0.3113319086034347,0.4038964006375731,0.3118328758533324,0.122053422703883,4.894999182,1.404343714,1.8462541599999973,136.5,1,0,1,0
2024-03-06,0.08428097751946827,0.1037427749494826,0.6126142514019455,0.2824934386409754,0.25375935442325287,0.08817355353804623,4.894999182,1.404343714,1.9173125000000013,136.5,0,1,1,0
2024-03-06,0.025580252980942447,0.010743630285197111,0.34364058026237215,0.4353509552718447,0.23646984305721724,0.0967629292101577,4.894999182,1.404343714,1.6738,136.3,1,0,0,1
2024-03-06,0.11633304678015148,0.06998263394188776,0.24498658536637619,0.32784111320840986,0.18589157104651982,0.05181320114376663,4.894999182,1.404343714,1.8106916700000006,136.3,0,1,0,1
2024-03-06,0.05229645093740208,0.07442782717604739,0.25717338920519656,0.2432540891523295,0.256938090857907,0.08314435368294412,4.894999182,1.404343714,1.9528125000000003,136.3,1,0,0,1
2024-03-06,0.04655532358505494,0.0435058707672069,0.3481651585720097,0.432014614642734,0.26897271679921175,0.0641112605138284,4.894999182,1.404343714,1.6059583400000008,136.5,0,1,1,0
2024-03-07,0.11032174873691479,0.08537881340910308,0.23434586870878785,0.3048850978349761,0.22352030403265538,0.05244736999318089,3.679930481,1.156265645,2.2821291699999975,166.6,0,1,0,1
2024-03-07,0.050853493800285754,0.07537388870067127,0.25608203365057214,0.24174360652583513,0.256832523963685,0.08288747515038332,3.679930481,1.156265645,2.368420829999998,166.6,1,0,0,1
2024-03-07,0.06280240696891849,0.11579533968391882,0.22875267149133757,0.25907265934569396,0.2538414619607291,0.08051536252539562,3.679930481,1.156265645,2.031533330000002,166.6,0,1,0,1
2024-03-07,0.03280117892932625,0.00921438013568189,0.3263607839080614,0.43540075140063744,0.23722054099514395,0.09547452286054511,3.679930481,1.156265645,1.836612500000001,166.6,1,0,0,1
2024-03-08,0.07984772197058194,0.17481402767890158,0.2629484789423272,0.31696895852823587,0.20175006453656133,0.07892191294395456,4.234049707,1.22390865,2.2023291699999987,404.8,0,1,0,1
2024-03-08,0.06398133365436891,0.07460926363026812,0.31767541276468925,0.39428574778058234,0.3005137588852136,0.12249493265989725,4.234049707,1.22390865,1.7977791600000046,167.0,1,0,1,0
2024-03-08,0.07289696671308768,0.1019284103575098,0.6396935111010645,0.3426969583513473,0.24497384284608348,0.08106122939805646,4.234049707,1.22390865,2.626908329999999,167.0,0,1,1,0
2024-03-08,0.04079577551503689,0.02391721313284434,0.3342958483259003,0.4263876520891591,0.24019987331972692,0.09500893054285585,4.234049707,1.22390865,1.8136041699999979,404.8,1,0,0,1
2024-03-08,0.17886528305818042,0.10672999663074487,0.23318630343199936,0.3232266719934024,0.17783329812090928,0.05280860541830591,4.234049707,1.22390865,2.1395083300000017,404.8,0,1,0,1
