date, T9_D_100, T12_E_50, T4_E_50, T7_E_100, T15_E_100, T14_D_100, T5_D_50, T2_D_50
18/08/2024,34,54,51,41,68,87,110,53
19/08/2024,40,55,50,37,59,79,110,57
20/08/2024,34,39,59,43,77,98,126,63
21/08/2024,21,14,25,29,61,49,58,27
22/08/2024,18,9,39,26,63,65,71,57
23/08/2024,21,8,37,25,60,72,58,48
24/08/2024,18,22,53,25,66,76,80,73
25/08/2024,18,20,54,18,59,86,80,74
26/08/2024,17,25,52,22,50,73,89,72
27/08/2024,19,32,59,26,60,86,102,84
28/08/2024,18,37,73,30,68,98,110,82
29/08/2024,18,37,73,26,62,85,102,89
30/08/2024,21,41,64,26,70,104,99,91
31/08/2024,15,50,65,23,73,109,104,94
01/09/2024,20,46,60,21,71,105,90,92
02/09/2024,16,38,65,29,61,85,84,71
03/09/2024,18,44,68,21,62,84,94,80
04/09/2024,16.8333,38,59,19.5,56.8333,64,81.8333,74.3333
05/09/2024,15.6667,37,50,18,51.6667,63,69.6667,68.6667
06/09/2024,14.5,34,41,16.5,46.5,66,57.5,63
07/09/2024,13.3333,37,32,15,41.3333,59,45.3333,57.3333
08/09/2024,12.1667,28.5,23,13.5,36.1667,43,33.1667,51.6667
09/09/2024,11,20,14,12,31,27,21,46
10/09/2024,13,17,13,10,27,47,36,27
11/09/2024,13,20,11,6,42,24,28,30
12/09/2024,16,22,12,9,39,23,53,46
13/09/2024,13,25,23,8,27,21,47,36
14/09/2024,15,20,10,6,30,45,41,55
15/09/2024,13,20,9,9,38,31,47,53
16/09/2024,11,18,31,10,29,34,39,62
17/09/2024,14,24,12,15,33,28,34,42
18/09/2024,12,16,11,5,35,12,19,21
19/09/2024,12,20,12,7,35,26,33,39
20/09/2024,12,18,9,8,35,14,23,34
21/09/2024,10,16,39,5,27,26,48,63
22/09/2024,13,19,160.5,14.5,26,63.5,39,53
23/09/2024,15,17,282,24,31,101,36,35
24/09/2024,9,10,198,26.75,27,26,30.3333,40
25/09/2024,15,17,188,29.5,22,19,24.6667,26
26/09/2024,12,21,133,32.25,21,18,19,26
27/09/2024,14,39.5,143.25,35,24,18,6,33
28/09/2024,10,58,153.5,30,27,14,26,36
29/09/2024,16,76.5,163.75,32,30,39,32,44
30/09/2024,17,95,174,14,33,59,20,31
01/10/2024,11,72,158,27,27,65,36,66
02/10/2024,13,30,135,13,22,32,11,35
03/10/2024,12,25,85,13,24,9,12,32
04/10/2024,13,22,95,6,22,11,15,21
05/10/2024,12,12,99,13,21,8,7,21
06/10/2024,17,7,112,46,20,24,10,25
07/10/2024,16,28,108,79,13,40,13,37
08/10/2024,17,12,109,61,20,22,6,29
09/10/2024,18,13,88,65,20,29,14,23
10/10/2024,16,15,74,55,17,29,11,14
11/10/2024,12,8,72,44,27,34,14,10
12/10/2024,11,9,82,61,23,45,13,32
13/10/2024,12,9,85,42,16,36,9,12
14/10/2024,21,15,88,51,21,40,11,23
15/10/2024,16,26,83,57,18,47,13,38
16/10/2024,11,7,71,30,13,35,6,15
17/10/2024,17.6,18,68.4,42.5,22,29,6.8,18.5
18/10/2024,24.2,29,65.8,55,15,23,7.6,22
19/10/2024,30.8,40,63.2,41,27,17,8.4,31
27/10/2024,37.4,51,60.6,51,29.5,11,9.2,25
28/10/2024,44,62,58,61,32,5,10,19
29/10/2024,14,18,24,21,33,2,12,17
30/10/2024,18,28,33,23,16,4,12,17
31/10/2024,10,28,41,14,15,1,11,16
