dt,eto (mm/day),vpd (kPa)
25/07/2024,8.554744588,4.490568471
26/07/2024,8.580366073,3.423301795
27/07/2024,7.848311813,3.055178176
28/07/2024,9.331544338,3.62907929
29/07/2024,8.919249322,3.22443756
30/07/2024,8.864571536,3.56849983
31/07/2024,8.355648773,4.168271139
01/08/2024,8.374918264,4.294539311
02/08/2024,9.178391559,4.299037906
03/08/2024,8.343318945,3.757193779
04/08/2024,7.740489736,3.565611404
05/08/2024,8.806005278,3.460369534
06/08/2024,8.603846135,3.799303164
07/08/2024,8.557559922,3.649624697
08/08/2024,8.650341805,3.60275426
09/08/2024,8.498494042,3.768903828
10/08/2024,8.345109397,3.165010329
11/08/2024,7.537256124,2.926490749
12/08/2024,8.395957819,3.049771383
13/08/2024,8.325068902,3.662971924
14/08/2024,8.195378494,3.391388541
15/08/2024,8.94642121,3.156351727
16/08/2024,8.450899961,3.099015269
17/08/2024,8.054757073,3.216904334
18/08/2024,7.886792097,4.299033271
19/08/2024,7.964738951,4.318901769
20/08/2024,8.871568301,3.436819345
21/08/2024,8.34864731,2.973613296
22/08/2024,8.412374621,3.059636839
23/08/2024,8.207195951,2.877627407
24/08/2024,7.831349868,2.761768935
25/08/2024,7.293584275,3.126869094
26/08/2024,6.817988256,4.001478642
27/08/2024,7.686900056,3.925452565
28/08/2024,7.76222663,3.210714037
29/08/2024,8.083838,2.770208179
30/08/2024,7.226191486,2.65053423
31/08/2024,7.149110171,2.685666692
01/09/2024,7.120229582,2.771755378
02/09/2024,6.811830192,3.150659972
03/09/2024,7.289351272,2.953103443
04/09/2024,7.022362529,2.620154026
05/09/2024,6.757594967,2.605192928
06/09/2024,6.78545419,2.868236381
07/09/2024,7.213851657,2.939064408
08/09/2024,7.207382882,3.005290406
09/09/2024,7.133551647,3.380885339
10/09/2024,6.886022823,3.037355326
11/09/2024,6.086151261,3.552560777
12/09/2024,6.780943533,3.817851805
13/09/2024,7.567557027,3.51527118
14/09/2024,7.323075255,2.521795388
15/09/2024,6.540133627,2.482930926
16/09/2024,5.819142145,2.408231735
17/09/2024,6.62671725,2.602795272
18/09/2024,6.466182894,2.39232761
19/09/2024,5.815733223,2.497266708
20/09/2024,5.410586558,3.013470933
21/09/2024,6.575479059,2.629948775
22/09/2024,5.923186805,2.300615798
23/09/2024,5.983741623,2.24718964
24/09/2024,6.427810559,2.340674862
25/09/2024,6.397058695,2.284633793
26/09/2024,6.105903979,2.212613209
27/09/2024,6.151254606,2.428146988
28/09/2024,6.177417224,2.444951062
29/09/2024,6.286868839,2.213630686
30/09/2024,5.542300168,2.189102061
01/10/2024,5.589032239,2.081548912
02/10/2024,5.621788485,2.066223644
03/10/2024,5.710630231,2.172316862
04/10/2024,5.642019159,2.096256857
05/10/2024,5.749949454,2.043037184
06/10/2024,5.735395608,1.954065209
07/10/2024,5.887853138,2.120104119
08/10/2024,5.724594708,2.063646392
09/10/2024,5.5952012,2.23700602
10/10/2024,5.482647131,1.948152213
11/10/2024,4.957745272,1.790059771
12/10/2024,4.899224966,1.874322587
13/10/2024,4.701289192,1.840887385
14/10/2024,4.39529891,1.961420318
15/10/2024,4.972146159,2.081581834
16/10/2024,4.977720727,1.88283735
17/10/2024,5.342259133,1.896690922
18/10/2024,5.162752392,1.979175119
19/10/2024,4.893329983,1.938211592
20/10/2024,4.422188154,2.048641248
21/10/2024,4.720637021,1.99934771
22/10/2024,4.708675191,1.870536762
23/10/2024,5.873025007,2.27610137
24/10/2024,7.2077362,2.586235261
25/10/2024,5.714456431,2.644284518
26/10/2024,4.584162318,2.219101993
27/10/2024,4.2349486,2.125425674
28/10/2024,4.30396915,2.148884097
29/10/2024,4.547200421,2.009953734
30/10/2024,4.12384269,1.630404329
31/10/2024,3.80003739,1.524177232
01/11/2024,3.534218452,1.482655979
02/11/2024,3.7649859,1.562935002
03/11/2024,3.402395527,1.48933217
04/11/2024,3.054999484,1.526775356
05/11/2024,3.337196365,1.370179656
06/11/2024,4.184499774,1.912798712
,,
