date, T2_D_50, T5_D_50, T9_D_100, T14_D_100, T4_E_50, T7_E_100, T12_E_50, T15_E_100
01/03/2024,3.442333333,3.528833333,3.428166667,4.208,2.776333333,4.0075,3.408666667,3.609
02/03/2024,3.498333333,3.495833333,3.4125,4.1225,2.923333333,3.7795,3.147333333,3.742333333
03/03/2024,3.491666667,3.612833333,3.418166667,4.041333333,2.626333333,3.767833333,2.793166667,3.710166667
04/03/2024,3.332,3.6185,3.468833333,4.266,3.041833333,3.974666667,3.644166667,3.752166667
05/03/2024,3.379666667,3.554833333,3.443166667,4.264666667,3.145166667,3.75,3.078,3.713666667
06/03/2024,3.36,3.650833333,3.452666667,4.430833333,2.641333333,3.821833333,3.241666667,3.605666667
07/03/2024,3.370666667,3.649333333,3.426333333,4.452833333,3.176,3.663166667,3.606833333,3.719333333
08/03/2024,3.413,3.597166667,3.446,4.27,2.526833333,3.654666667,2.866666667,3.480833333
09/03/2024,3.233833333,3.714833333,3.413833333,4.2745,3.188333333,3.583333333,3.471166667,3.650666667
10/03/2024,3.309166667,3.608,3.418,4.148666667,2.613333333,3.481333333,3.083333333,3.392333333
11/03/2024,3.2578,3.6366,3.381,4.1388,2.619,3.364,3.8054,3.3908
12/03/2024,3.22,3.68025,3.4255,4.14625,3.36675,3.31675,3.7235,3.68025
13/03/2024,3.233166667,3.7115,3.411333333,4.089,2.840333333,3.201,3.143333333,3.5355
14/03/2024,3.2305,3.776833333,3.491166667,4.175166667,3.416166667,3.275833333,3.738333333,3.782666667
15/03/2024,3.248166667,3.764833333,3.4855,4.150666667,2.7145,3.109333333,3.187333333,3.659833333
16/03/2024,3.233,3.8415,3.548666667,4.341333333,3.468166667,3.1915,3.588833333,3.827166667
17/03/2024,3.2565,3.788666667,3.537333333,4.254166667,2.805166667,3.005,3.178,3.662666667
18/03/2024,3.216333333,3.849,3.546,4.413166667,3.5875,3.266333333,3.787,3.887333333
19/03/2024,3.251666667,3.716833333,3.445666667,4.34,3.255333333,3.031833333,3.192166667,3.625333333
20/03/2024,3.165,3.764,3.452833333,4.411833333,3.606166667,3.125333333,3.740333333,3.720833333
21/03/2024,3.233166667,3.788666667,3.5255,4.385666667,3.087666667,3.031666667,3.294166667,3.606833333
22/03/2024,3.220333333,3.8585,3.566666667,4.482666667,3.4975,3.088166667,3.708833333,3.665833333
23/03/2024,3.179666667,3.859,3.4855,4.454666667,3.280666667,2.944666667,3.459,3.437166667
24/03/2024,3.245,3.8115,3.468666667,4.4095,3.243333333,3.015833333,3.109333333,3.745666667
25/03/2024,3.164,3.897833333,3.386666667,4.399833333,3.4185,2.850333333,3.3665,3.376166667
26/03/2024,3.170333333,3.785333333,3.361166667,4.330166667,3.964166667,2.907333333,3.6005,3.691
27/03/2024,3.163,3.867833333,3.474166667,4.556333333,3.279,2.861,3.5425,3.4225
28/03/2024,3.275,3.9695,3.603666667,4.6855,4.055666667,3.2205,4.257166667,3.893
29/03/2024,3.303,4.0725,3.695166667,4.743,3.420166667,2.8675,3.798166667,3.440833333
30/03/2024,3.39,4.1545,3.795833333,4.673833333,3.944833333,3.316,4.045,4.032
31/03/2024,3.5166,4.0768,3.8288,4.7934,3.516,2.908,3.9158,3.4644
01/04/2024,3.5385,4.172,3.951666667,4.6795,4.069166667,3.252833333,3.831666667,4.0835
02/04/2024,3.546833333,4.1855,3.974166667,4.514166667,3.055666667,3.097,2.276833333,4.232166667
03/04/2024,3.469666667,4.276,3.934833333,4.965333333,3.188166667,2.890333333,3.3025,3.534
