date, T15_E_100, T12_E_50, T7_E_100, T4_E_50, T2_D_50, T5_D_50, T9_D_100, T14_D_100
01/03/2024,80.79166667,39.765625,46.11458333,62.94791667,18.16666667,26.96875,27.875,64.61979167
02/03/2024,133.8541667,62.21875,66.64583333,109.15625,34.96354167,52.92708333,46.85416667,116.2291667
03/03/2024,141.640625,66.078125,70.74479167,149.1770833,36.6875,65.125,50.078125,133.3229167
04/03/2024,78.46875,41.125,45.26041667,64.41666667,19.4375,28.48958333,11.52083333,63.30208333
05/03/2024,86.61458333,63.14583333,41.14583333,110.8854167,27.765625,52.64583333,18.609375,77.66666667
06/03/2024,71.48958333,51.96875,39.48958333,98.67708333,21.69791667,44.359375,14.84895833,60.63541667
07/03/2024,105.1458333,53.27083333,48.171875,93.578125,27.82291667,43.13541667,26.4375,104.6145833
08/03/2024,61.83333333,67.72916667,34.625,151.71875,34.60416667,63.04166667,9.09375,54.27083333
09/03/2024,91.73958333,45.40625,44.09375,73.44791667,21.16666667,32.96875,20.59375,87.63541667
10/03/2024,62.54166667,54.14583333,35.30208333,136.34375,30.5,64.13541667,18.29166667,56.625
11/03/2024,55.08333333,34.5,30.57291667,129.5260417,24.10416667,61.61979167,17.59375,53.97916667
12/03/2024,95.36458333,48.625,51.15625,80.14583333,23.10416667,36.27083333,32.88541667,81.25
13/03/2024,63.20833333,38.71875,33.90625,107.2916667,23,35.58333333,23.25520833,59.27083333
14/03/2024,97.13541667,51.375,51.02083333,83.69791667,24.19791667,37,29.86979167,84.71875
15/03/2024,68.625,56.98958333,34.5,115.1979167,27.77604167,48.09375,22.67708333,65.171875
16/03/2024,87.59895833,44.55208333,46.55729167,79.24479167,24,33.45833333,26.09375,76.70833333
17/03/2024,69,61.63541667,36.625,112.3229167,27.4375,45.63020833,24.78125,66.39583333
18/03/2024,93.51041667,50.1875,50.32291667,78.8125,23.72916667,34.96875,32.5625,80.11458333
19/03/2024,66.44791667,56.9375,35.59375,96.125,27.38541667,41.51041667,23.98958333,61.90625
20/03/2024,89.02604167,48.08854167,47.27083333,75.73958333,23.97916667,33.33333333,30.85416667,78.796875
21/03/2024,47.58510638,45.54255319,23.62765957,77.07446809,22.78723404,36.30851064,16.12765957,47.43085106
22/03/2024,70.63541667,63.73958333,37.8125,89.51041667,27.39583333,40.02083333,24.94791667,65.01041667
23/03/2024,66.32631579,49.48421053,35.49473684,71.01052632,18.93684211,31.67368421,21.80526316,58.25263158
24/03/2024,90.84782609,77.30978261,43.5326087,103.4728261,31.39673913,42.76086957,32.50543478,97.11956522
25/03/2024,47.06521739,52.90217391,24.44565217,68.66847826,21.78804348,32.92391304,15.75,41.36956522
26/03/2024,81.26630435,58.61956522,42.24456522,97.90217391,32.68478261,42.97826087,32.68478261,87.73369565
27/03/2024,40.00537634,55.40322581,21.55913978,86.42473118,24.37634409,38.08064516,12.64516129,38.61827957
28/03/2024,67.96354167,53.97395833,42.48958333,89.63541667,29.44791667,43.84895833,29.640625,84.41145833
29/03/2024,44.52272727,66.61363636,27.78409091,92.36363636,26.13636364,45.64772727,15.47727273,47.73863636
30/03/2024,89.48958333,75.82291667,45.375,101.3854167,30.29166667,44.23958333,36.84375,95.72916667
31/03/2024,45.06315789,102.5368421,24.93684211,113.5473684,30.16842105,47.12631579,14.43157895,47.92631579
01/04/2024,104.010989,92.41758242,52.43956044,132.6483516,40.46153846,59.41208791,42.56043956,116.3076923
02/04/2024,134.7083333,263.9791667,62.70833333,313.28125,121.4895833,151.9479167,79.73958333,232.40625
03/04/2024,52.91666667,44.44791667,30.5625,65.71875,30.17708333,56.3125,18.1875,55.13541667
04/04/2024,55.38020833,45.55208333,32.47916667,63.84375,18.15625,27.38541667,21.86458333,60.33333333
05/04/2024,56.03645833,46.10416667,32.69270833,63.078125,18.48958333,28.03125,21.5625,60.078125
06/04/2024,54.26041667,43.375,32.66666667,61.38541667,18.625,28.09375,21.40625,57.75
07/04/2024,48.80208333,40.34375,32.58333333,57.45833333,18.26041667,27.82291667,20.63541667,51.11458333
08/04/2024,47.38541667,39.98958333,32.10416667,59.07291667,18.11458333,27.71875,19.83333333,48.6875
09/04/2024,48.01041667,39.92708333,32.71875,58.20833333,18.17708333,27.85416667,19.625,48.76041667
10/04/2024,38.63541667,33.53125,27.22916667,57.515625,17.30208333,26.92708333,15.89583333,39.42708333
11/04/2024,43.40104167,36.625,31.15625,57.63541667,18.24479167,27.91145833,17.609375,43.66666667
12/04/2024,46.17708333,40.01041667,32.02083333,59.45833333,18.26041667,28.51041667,18.90625,45.64583333
13/04/2024,46.44791667,40.125,31.66666667,59.22916667,18.40625,28.26041667,18.5625,45.65625
14/04/2024,45.77083333,40.57291667,31.39583333,58.78125,18.35416667,28.5625,18.265625,44.85416667
