date, T14_D_100, T15_E_100, T12_E_50, T7_E_100, T4_E_50, T9_D_100, T2_D_50, T5_D_50
22/04/2024,16.40208333,33.43645833,12.27291667,17.53958333,12.75,18.24583333,15.70208333,11.89270833
23/04/2024,16.38854167,33.75,12.509375,19.65520833,12.71770833,18.3375,15.75520833,11.87604167
24/04/2024,16.56458333,33.58229167,12.17291667,19.87708333,12.73854167,18.40104167,15.72291667,11.85520833
25/04/2024,16.53229167,33.309375,11.85,20.03645833,12.61458333,18.41145833,15.29583333,11.7875
26/04/2024,14.26770833,31.70625,10.53229167,21.071875,10.45833333,17.85729167,14.46145833,11.42083333
27/04/2024,16.3875,33.26875,12.36145833,20.14583333,12.321875,18.38125,15.54270833,11.42083333
28/04/2024,16.38854167,33.371875,12.69583333,19.625,12.63020833,18.33958333,16.16458333,11.69375
29/04/2024,16.31354167,32.55416667,12.52395833,19.54479167,12.60208333,18.25,16.1,11.79895833
30/04/2024,16.05520833,32.35,12.415625,19.43333333,12.58958333,18.16875,15.9125,11.81979167
01/05/2024,16.25416667,32.37604167,12.17708333,19.46770833,12.46041667,18.16770833,15.85625,11.81145833
02/05/2024,16.06041667,32.303125,12.04791667,18.953125,12.53229167,18.1375,15.39270833,11.77604167
03/05/2024,16.315625,32.31458333,11.915625,19.63333333,12.425,18.14270833,15.38333333,11.76770833
04/05/2024,16.29791667,32.46666667,11.74791667,19.52708333,12.41770833,18.12083333,15.325,11.74166667
05/05/2024,16.07916667,32.825,11.628125,19.48333333,12.27395833,18.203125,15.24479167,11.70520833
06/05/2024,16.17083333,33.35416667,11.29583333,19.265625,11.98541667,18.503125,15.21145833,11.65
07/05/2024,14.78541667,34.18125,12.2875,17.734375,12.95729167,18.17083333,15.36875,11.78125
08/05/2024,14.90833333,37.353125,12.796875,17.64791667,13.03125,18.23958333,15.46354167,11.85416667
09/05/2024,15.11458333,45.81458333,13.01041667,17.57083333,13.14166667,18.49270833,15.52083333,11.86666667
10/05/2024,15.69270833,43.465625,12.81458333,19.65104167,12.62083333,18.62083333,15.24479167,11.65104167
11/05/2024,17.79166667,35.59791667,13.70416667,21.81354167,13.05625,19.23333333,16.05520833,12.07291667
12/05/2024,16.83645833,38.546875,12.84375,20.63020833,12.57604167,19.0625,15.91041667,11.9875
13/05/2024,17.03125,35.20208333,12.57291667,20.98333333,12.56875,19.06875,15.90833333,11.99583333
14/05/2024,17.06458333,35.56041667,12.13020833,21.12395833,12.471875,18.99479167,15.89166667,11.984375
15/05/2024,16.76354167,35.21770833,11.92083333,20.75208333,12.31770833,18.96770833,15.715625,11.9625
16/05/2024,19.73333333,34.928125,13.43958333,24.02708333,13.05729167,19.59166667,17.83854167,12.20104167
17/05/2024,20.43125,35.15416667,14.27083333,23.846875,13.453125,19.771875,15.81770833,12.265625
18/05/2024,20.56354167,33.55520833,14.55729167,23.92604167,13.73333333,19.61458333,15.91875,12.30729167
19/05/2024,20.04583333,34.790625,13.61458333,24.86875,13.82083333,19.69583333,16.45208333,12.23541667
20/05/2024,20.09791667,33.76979167,14.90208333,24.79375,13.73229167,19.63229167,16.57708333,12.24583333
21/05/2024,19.64270833,34.85729167,14.13229167,23.875,13.196875,19.37083333,16.14270833,12.07395833
22/05/2024,19.94791667,34.66979167,14.00625,23.82083333,13.07291667,19.371875,17.85104167,12.090625
23/05/2024,20.221875,33.23020833,13.90729167,24.915625,13.03125,19.36145833,15.725,12.04791667
24/05/2024,19.99375,34.33541667,14.025,25.04375,13.14270833,19.409375,15.61458333,12.03229167
25/05/2024,20.421875,34.09791667,13.75729167,23.90625,13.375,19.50208333,15.70833333,12.06875
26/05/2024,21.32447917,33.71875,13.69375,23.97083333,13.66041667,19.596875,17.7625,12.11979167
27/05/2024,33.61354167,35.73020833,13.75208333,23.921875,12.746875,19.709375,15.834375,12.13229167
28/05/2024,34.34583333,34.98854167,14.33020833,23.53020833,12.72291667,19.77291667,15.73125,12.12708333
29/05/2024,34.85729167,33.80729167,14.86354167,24.29270833,12.77604167,19.90416667,15.76458333,12.159375
30/05/2024,34.43541667,34.15,14.58854167,26.175,12.76041667,20.0625,15.7875,12.12604167
31/05/2024,31.55729167,34.23020833,14.57395833,24.90104167,12.72291667,20.11666667,15.91354167,12.12916667
01/06/2024,24.9375,34.07395833,14.57916667,23.8875,12.6875,20.0125,15.68125,12.1125
02/06/2024,26.659375,35.15104167,14.24583333,23.92604167,12.64375,19.9375,17.175,12.06979167
03/06/2024,24.653125,34.30729167,13.58229167,24.63020833,12.42708333,19.784375,16.06354167,12.04895833
04/06/2024,24.58854167,34.64479167,13.34270833,24.93541667,12.39270833,19.77083333,17.696875,12.00104167
05/06/2024,24.11145833,34.87916667,12.44479167,24.21770833,12.21458333,19.709375,15.69791667,11.96354167
06/06/2024,29.86875,37.1125,22.68645833,30.88125,15.72604167,21.00729167,19.55729167,12.865625
07/06/2024,29.81770833,36.203125,25.28854167,26.209375,15.81458333,20.74166667,20.62604167,13.65
08/06/2024,19.52291667,33.59895833,14.6875,20.0875,12.73020833,19.259375,15.91041667,12.10520833
09/06/2024,23.18333333,34.74375,11.30416667,22.28333333,11.78645833,19.85104167,15.65729167,11.84791667
10/06/2024,23.30520833,34.71770833,12,23.31145833,12.53020833,19.95416667,15.71041667,11.940625
11/06/2024,24.18958333,34.63020833,12.01770833,23.928125,12.821875,19.82604167,15.709375,11.959375
12/06/2024,23.51979167,34.56770833,11.95833333,23.921875,12.89791667,19.85833333,15.6375,11.93854167
13/06/2024,25.38854167,34.55416667,11.29166667,23.73333333,12.659375,19.79166667,15.66354167,11.946875
14/06/2024,27.55520833,34.365625,10.51979167,22.446875,12.65208333,19.759375,15.65833333,11.903125
15/06/2024,28.35104167,34.403125,9.872916667,22.909375,12.375,19.825,15.6375,11.84479167
16/06/2024,30.2125,34.20416667,9.528125,22.64895833,12.53541667,19.828125,15.61666667,11.81979167
17/06/2024,31.05520833,34.37395833,10.0625,22.940625,12.53854167,19.89270833,15.475,11.85
18/06/2024,31.07604167,34.47083333,10.446875,23.259375,12.61458333,19.971875,15.60625,11.890625
19/06/2024,31.81145833,34.55416667,10.70833333,24.55,12.70833333,20.075,15.565625,11.90833333
20/06/2024,31.53229167,34.671875,10.65520833,25.54479167,13.21041667,20.05729167,16.11770833,11.89895833
21/06/2024,31.59375,34.65208333,10.578125,27.05520833,12.93229167,20.04791667,15.64479167,11.890625
22/06/2024,31.66875,34.84895833,10.42708333,24.08541667,12.93854167,19.99583333,15.52291667,11.86770833
23/06/2024,32.878125,34.890625,10.34895833,24.11041667,13.05,19.91979167,15.51354167,11.86354167
24/06/2024,32.32291667,34.82395833,10.31458333,24.00625,13.03541667,19.93333333,15.50833333,11.85625
25/06/2024,32.259375,35.11145833,10.08854167,24.434375,13.01979167,19.84166667,15.52916667,11.82604167
26/06/2024,32.171875,35.17916667,10.02916667,24.70520833,13.06979167,19.92604167,15.58020833,11.82708333
27/06/2024,32.39895833,35.36041667,10.090625,23.79791667,12.97291667,19.94375,15.54583333,11.84479167
28/06/2024,31.6125,35.309375,10.11666667,23.6,13.09895833,19.75,15.56770833,11.840625
29/06/2024,14.88333333,32.75208333,6.448958333,14.85520833,9.176041667,17.92708333,13.959375,11.21666667
30/06/2024,24.34791667,38.33958333,10.59791667,29.2375,12.67604167,18.878125,13.871875,11.01041667
01/07/2024,33.11979167,35.15625,11.36458333,29.05625,13.91354167,19.80416667,17.30729167,11.90625
02/07/2024,31.98125,34.796875,10.62395833,27.7875,13.84895833,19.86875,15.26145833,11.84375
03/07/2024,31.128125,34.784375,10.35,30.29479167,13.71458333,19.96979167,15.98854167,11.80520833
04/07/2024,30.26770833,34.73958333,10.02708333,29.79583333,13.64270833,19.81666667,16.375,11.75625
05/07/2024,29.95729167,34.740625,9.854166667,29.56875,13.55520833,19.753125,16.575,11.72708333
06/07/2024,30.103125,34.65104167,10.47395833,29.459375,13.63229167,19.85,16.5375,11.746875
07/07/2024,30.92708333,34.76979167,10.509375,29.76041667,13.740625,19.89375,16.6,11.79479167
08/07/2024,31.64375,34.765625,12.44479167,29.92291667,14.021875,20.04479167,16.58333333,11.76875
09/07/2024,30.84583333,34.85104167,11.671875,28.29166667,14.009375,19.9375,16.76666667,11.7375
10/07/2024,30.7,34.88125,11.37083333,25.65208333,14.00520833,20.06041667,16.40729167,11.678125
11/07/2024,30.18333333,34.728125,10.78020833,29.96666667,13.99166667,19.99166667,16.35208333,11.64895833
12/07/2024,29.91354167,34.65729167,10.54270833,29.865625,13.88958333,19.94583333,15.46458333,11.61145833
13/07/2024,30.16145833,34.54479167,9.8125,29.99270833,13.975,19.90208333,15.43854167,11.62395833
